time,spawnPoint,direction,colorIndex
4.67,3,0,0
6.61,2,0,0
8.34,4,0,0
10.26,1,0,0
12.31,3,0,0
12.31,4,0,0
13.31,1,0,0
13.31,2,0,0
14.29,3,0,0
14.29,4,0,0
15.30,1,0,0
15.30,2,0,0
16.23,4,0,0
17.22,1,0,0
18.22,3,0,0
18.99,2,0,0
19.95,3,0,0
19.95,4,0,0
21.74,1,0,0
21.74,2,0,0
23.70,3,0,0
24.66,2,0,0
25.47,4,0,0
25.90,4,0,0
26.13,4,0,0
26.58,4,0,0
27.05,4,0,0
29.48,2,0,0
29.93,3,0,0
30.46,1,0,0
30.85,4,0,0
31.34,2,0,0
31.79,3,0,0
32.32,1,0,0
32.75,4,0,0
33.28,2,0,0
33.73,3,0,0
34.20,1,0,0
34.62,4,0,0
35.05,2,0,0
35.52,3,0,0
36.03,1,0,0
36.37,4,0,0
36.95,3,0,0
36.95,4,0,0
37.95,2,0,0
37.95,1,0,0
39.04,4,0,0
39.06,3,0,0
39.98,1,0,0
39.98,2,0,0
40.87,2,0,0
40.87,3,0,0
41.81,1,0,0
41.83,4,0,0
42.79,3,0,0
42.79,4,0,0
44.67,3,0,0
45.18,2,0,0
45.59,4,0,0
46.08,1,0,0
46.53,3,0,0
47.06,2,0,0
47.49,4,0,0
47.98,1,0,0
48.45,1,0,0
48.94,3,0,0
49.41,2,0,0
49.92,4,0,0
50.37,1,0,0
50.71,3,0,0
51.24,2,0,0
51.75,4,0,0
52.25,4,0,0
52.46,3,0,0
52.69,2,0,0
53.03,1,0,0
53.50,4,0,0
53.99,3,0,0
55.59,3,0,0
55.98,4,0,0
57.64,4,0,0
58.60,1,0,0
59.99,3,0,0
59.99,4,0,0
61.87,2,0,0
61.89,1,0,0
63.53,3,0,0
65.54,4,0,0
67.61,3,0,0
69.46,2,0,0
70.51,4,0,0
71.45,1,0,0
72.30,3,0,0
73.24,4,0,0
74.18,2,0,0
75.16,3,0,0
75.18,4,0,0
77.03,2,0,0
77.03,1,0,0
79.00,3,0,0
79.02,4,0,0
80.02,1,0,0
80.02,2,0,0
80.77,4,0,0
81.17,4,0,0
81.39,4,0,0
81.83,4,0,0
82.28,4,0,0
82.75,3,0,0
83.26,2,0,0
83.75,4,0,0
84.27,1,0,0
84.65,3,0,0
85.14,2,0,0
85.59,4,0,0
86.12,1,0,0
86.59,3,0,0
87.06,2,0,0
87.55,4,0,0
88.06,1,0,0
88.47,3,0,0
88.96,2,0,0
89.37,4,0,0
90.01,1,0,0
90.39,3,0,0
90.90,2,0,0
91.37,4,0,0
91.86,1,0,0
92.31,3,0,0
92.78,2,0,0
93.31,1,0,0
93.31,4,0,0
94.23,2,0,0
94.25,3,0,0
95.21,4,0,0
95.23,1,0,0
96.21,2,0,0
96.21,3,0,0
98.03,3,0,0
98.03,4,0,0
99.01,1,0,0
99.01,2,0,0
99.86,3,0,0
99.86,4,0,0
101.01,1,0,0
101.03,2,0,0
101.87,3,0,0
101.89,4,0,0
102.83,1,0,0
102.83,2,0,0
103.72,4,0,0
104.66,1,0,0
105.45,3,0,0
105.66,4,0,0
105.90,2,0,0
106.37,1,0,0
106.82,3,0,0
107.33,2,0,0
108.86,4,0,0
109.31,2,0,0
113.37,4,0,0
117.14,1,0,0
120.98,3,0,0
122.86,2,0,0
133.03,4,0,0
134.85,1,0,0
136.85,3,0,0
140.61,3,0,0
140.61,4,0,0
141.59,2,0,0
141.59,1,0,0
142.53,3,0,0
142.53,4,0,0
143.53,2,0,0
143.53,1,0,0
144.55,4,0,0
144.96,1,0,0
145.41,3,0,0
145.92,2,0,0
146.37,4,0,0
146.82,1,0,0
147.29,3,0,0
147.31,1,0,0
147.73,2,0,0
147.75,4,0,0
148.29,3,0,0
148.91,2,0,0
149.42,4,0,0
149.93,1,0,0
152.04,3,0,0
152.98,2,0,0
153.81,4,0,0
154.82,1,0,0
155.80,3,0,0
156.71,2,0,0
157.74,4,0,0
158.63,1,0,0
159.57,3,0,0
159.57,4,0,0
160.68,1,0,0
160.68,2,0,0
161.58,4,0,0
162.56,2,0,0
163.48,3,0,0
164.46,1,0,0
165.38,4,0,0
166.25,2,0,0
167.25,3,0,0
167.72,2,0,0
168.19,4,0,0
168.66,1,0,0
169.11,3,0,0
169.56,2,0,0
170.05,4,0,0
170.56,1,0,0
171.03,3,0,0
171.54,2,0,0
171.99,3,0,0
172.50,1,0,0
172.86,4,0,0
173.46,2,0,0
173.89,3,0,0
174.40,1,0,0
174.87,4,0,0
175.10,3,0,0
175.49,2,0,0
176.02,1,0,0
176.55,4,0,0
178.15,3,0,0
178.60,2,0,0
181.82,4,0,0
182.23,1,0,0
